,Kanji,Onyomi,Kunyomi,English,Examples,JLPT Level,Number of Strokes,Kanji Radical,Radical Number,Radical Strokes,Radical Reading
90,丸,ガン,まる、まる.める、まる.い,"round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away","日の丸(ひのまる): (1) outline of the sun (esp. represented as a red circle) (2) the Japanese flag<br>丸ごと(まるごと): in its entirety; whole; wholly<br>丸める(まるめる): (1) to make round; to roll up; to curl up (2) to seduce; to cajole; to explain away (3) to round off (a fraction) (4) to lump together<br>丸(まる): (1) circle (2) full (e.g. month, day, etc.) (3) perfection; purity (4) suffix for ship names<br>丸っきり(まるっきり): completely; perfectly; just as if<br>丸で(まるで): (1) quite; entirely; completely; at all (2) as if; as though; just like<br>丸々(まるまる): (1) plump; rotund; chubby (2) entirely; completely; wholly",2,3.0,丶,3.0,1.0,てん・ちょぼ・ちゅ・ちゅてん
91,交,コウ,まじ.わる、まじ.える、ま.じる、まじ.る、ま.ざる、ま.ぜる、-か.う、か.わす、かわ.す、こもごも,"mingle, mixing, association, coming & going","交替(こうたい): alternation; change; relief; relay; shift; substitution (sports, etc.)<br>外交(がいこう): diplomacy<br>交渉(こうしょう): (1) negotiations; discussions (2) connection<br>交流(こうりゅう): (1) (cultural) exchange; interchange; interaction; (inter-) mingling; (social, etc.) networking; intercourse (2) alternating current; AC<br>交換(こうかん): exchange; interchange; switching; reciprocity; barter; substitution; replacement; clearing (of checks, cheques)<br>交通(こうつう): traffic; transportation; communication; exchange (of ideas, etc.); intercourse<br>国交(こっこう): diplomatic relations<br>交付(こうふ): delivering; handing over; furnishing (e.g. with copies); issuance; issuing<br>交際(こうさい): company; friendship; association; society; acquaintance<br>交差点(こうさてん): crossing; intersection<br>交互(こうご): mutual; reciprocal; alternate<br>交わす(かわす): (1) to exchange (messages, greetings, arguments, etc.) (2) to intersect; to cross; to interlace (3) ... with one another; ... to each other<br>交番(こうばん): (1) police box (2) alternation; alternating (e.g. current)<br>社交(しゃこう): social life; social intercourse<br>交じる(まじる): to be mixed; to be blended with; to associate with; to mingle with; to interest; to join<br>交ざる(まざる): to be mixed; to be blended with; to associate with; to mingle with; to join<br>交える(まじえる): (1) to mix; to combine (2) to exchange (words, fire, etc.) (3) to cross (e.g. swords); to join together<br>交易(こうえき): trade; commerce<br>交通機関(こうつうきかん): transportation facilities<br>交わる(まじわる): (1) to cross; to intersect; to join; to meet (2) to associate with; to mingle with; to consort with (3) to have a sexual relationship; to copulate<br>交差(こうさ): (1) crossing; intersection (2) (genetic) crossing over",3,6.0,亠,8.0,2.0,けいさん・けいさんかんむり・なべぶた
92,光,コウ,ひか.る、ひかり,"ray, light",光(ひかり): light<br>観光(かんこう): sightseeing<br>光景(こうけい): scene; spectacle; sight; view<br>日光(にっこう): sunlight<br>光線(こうせん): beam; light ray<br>蛍光灯(けいこうとう): (1) fluorescent lamp; fluorescent light (2) person who is slow to react; someone slow on the uptake<br>光る(ひかる): to shine; to glitter; to be bright<br>光沢(こうたく): brilliance; polish; lustre; luster; glossy finish (of photographs)<br>光熱費(こうねつひ): cost of fuel and lighting; cost of heat and electricity; energy bill; utility cost<br>稲光(いなびかり): (flash of) lightning,4,6.0,儿,10.0,2.0,にんにょう・ひとあし
93,角,カク,かど、つの,"angle, corner, square","""町角(まちかど): street corner<br>角(かど): (1) corner (e.g. desk, pavement) (2) edge<br>角度(かくど): angle<br>三角(さんかく): triangle; triangular<br>四角い(しかくい): square; rectangular<br>方角(ほうがく): direction; way; compass point<br>四角(しかく): square<br>直角(ちょっかく): right angle; perpendicular<br>角(かく): (1) angle (2) square (or cube) (3) bishop (shogi) (4) third degree (of the Japanese & Chinese pentatonic scale) (5) Chinese """"horn"""" constellation (one of the 28 mansions) (6) jiao (monetary unit of China; one-tenth of a yuan)<br>角(つの): horn<br>四つ角(よつかど): four corners; crossroads<br>兎に角(とにかく): anyhow; at any rate; anyway; somehow or other; generally speaking; in any case<br>兎も角(ともかく): anyhow; anyway; somehow or other; generally speaking; in any case; be that as it may<br>兎角(とかく): (1) (doing) various things; (doing) this and that (2) being apt to; being prone to; tending to become (3) somehow or other; anyhow; anyway (4) rabbit horns (used as a metaphor for things that do not exist)<br>折角(せっかく): with trouble; at great pains; long-awaited""",2,7.0,角,148.0,7.0,つの・かく・つのへん
94,計,ケイ,はか.る、はか.らう,"plot, plan, scheme, measure","計る(はかる): (1) to measure; to weigh; to survey; to time (sound, gauge, estimate) (2) to conjecture; to infer; to surmise<br>計画(けいかく): plan; project; schedule; scheme; program; programme<br>合計(ごうけい): sum total; total amount<br>設計(せっけい): plan; design; layout<br>計算(けいさん): (1) calculation; reckoning; count (2) forecast<br>統計(とうけい): statistics<br>会計(かいけい): account; finance; accountant; treasurer; paymaster; reckoning; bill<br>計(けい): (1) plan (2) meter; measuring device (3) (in) total; total (of)<br>時計(とけい): watch; clock; timepiece<br>家計(かけい): household economy; family finances<br>余計(よけい): too much; unnecessary; extraneous; abundance; surplus; excess; superfluity<br>生計(せいけい): livelihood; living<br>集計(しゅうけい): totalization; totalisation; aggregation; tally (e.g. votes)<br>計器(けいき): meter; gauge<br>見計らう(みはからう): (1) to choose at one's own discretion (2) to choose when to do something; to estimate (the time for something)",4,9.0,言,149.0,7.0,こと・げん・ごんべん・ことば
95,直,チョク、ジキ、ジカ,ただ.ちに、なお.す、-なお.す、なお.る、なお.き、す.ぐ,"straightaway, honesty, frankness, fix, repair",直後(ちょくご): immediately following<br>直接(ちょくせつ): direct; immediate; personal; firsthand<br>直前(ちょくぜん): just before<br>直(じき): (1) soon; in a moment; before long; shortly (2) nearby; close (3) direct (4) spot transaction; cash transaction<br>直ちに(ただちに): at once; immediately; directly; in person; automatically<br>率直(そっちょく): frankness; candour; candor; openheartedness; directness<br>正直(しょうじき): (1) honesty; integrity; frankness (2) honestly; frankly<br>素直(すなお): (1) obedient; meek; docile; unaffected (2) honest; frank; upfront (about one's feelings)<br>直径(ちょっけい): diameter<br>見直す(みなおす): (1) to look again (2) to get a better opinion of<br>直線(ちょくせん): straight line<br>垂直(すいちょく): vertical; perpendicular<br>直通(ちょくつう): direct communication<br>直観(ちょっかん): intuition; instinct; insight; hunch<br>直る(なおる): (1) to be cured; to get well; to be healed (2) to get mended; to be repaired; to be fixed<br>直面(ちょくめん): (1) confrontation (2) to face; to confront; to encounter<br>出直し(でなおし): adjustment; touch up<br>直角(ちょっかく): right angle; perpendicular<br>仲直り(なかなおり): reconciliation; make peace with<br>直ぐ(すぐ): (1) immediately; at once; directly (2) soon; before long; shortly (3) easily; without difficulty (4) right (near); nearby; just (handy)<br>直に(じかに): directly; in person; headlong<br>真っ直ぐ(まっすぐ): (1) straight (ahead); direct; upright; erect (2) straightforward; honest; frank<br>直流(ちょくりゅう): direct current; DC<br>直(なお): (1) straight (2) ordinary; common (3) doing nothing<br>直ぐに(すぐに): instantly; immediately<br>もう直ぐ(もうすぐ): very soon,3,8.0,目,109.0,5.0,め・めへん・よこめ
96,線,セン,すじ,"line, track",新幹線(しんかんせん): bullet train (very high speed); Shinkansen<br>線(せん): (1) line; stripe; stria (2) line (e.g. telephone line); wire (3) ray (e.g. X-ray); beam (4) line (e.g. of a railroad); track; route; lane (5) outline; contours; form (6) level (7) division (8) line (of action); position; approach; policy; principle (9) impression one leaves; air one gives off<br>無線(むせん): wireless; radio<br>線路(せんろ): line; track; roadbed<br>直線(ちょくせん): straight line<br>沿線(えんせん): along railway line<br>光線(こうせん): beam; light ray<br>電線(でんせん): (1) electric line; electric cable; power cable (2) telephone line; telegraph wire<br>曲線(きょくせん): curve<br>内線(ないせん): phone extension; indoor wiring; inner line<br>幹線(かんせん): main line; trunk line<br>三味線(しゃみせん): three-stringed Japanese guitar; shamisen<br>地平線(ちへいせん): horizon (related to land)<br>水平線(すいへいせん): horizon (related to sea or lakes)<br>脱線(だっせん): (1) derailment (2) digression; deviation<br>下線(かせん): underline; underscore<br>点線(てんせん): dotted line; perforated line,2,15.0,糸,120.0,6.0,いと・いとへん
97,矢,シ,や,"dart, arrow",矢(や): arrow<br>矢っ張り(やっぱり): also; as I thought; still; in spite of; absolutely; of course<br>矢印(やじるし): arrow (mark or symbol); directional marker or indicator<br>矢鱈に(やたらに): randomly; recklessly; blindly,1,5.0,矢,111.0,5.0,や・やへん
98,弱,ジャク,よわ.い、よわ.る、よわ.まる、よわ.める,"weak, frail",弱点(じゃくてん): weak point; weakness<br>弱い(よわい): weak; frail; delicate; tender; unskilled; weak (wine)<br>貧弱(ひんじゃく): poor; meagre; meager; insubstantial<br>弱まる(よわまる): to abate; to weaken; to be emaciated; to be dejected; to be perplexed<br>弱める(よわめる): to weaken<br>弱る(よわる): to weaken; to be troubled; to be downcast; to be emaciated; to be dejected; to be perplexed; to impair<br>薄弱(はくじゃく): feebleness; weakness; weak<br>弱(じゃく): (1) weakness; the weak (2) little less than; fewer than; under,4,10.0,弓,57.0,3.0,ゆみ・ゆみへん
99,強,キョウ、ゴウ,つよ.い、つよ.まる、つよ.める、し.いる、こわ.い,strong,強化(きょうか): strengthen; intensify; reinforce; solidify; enhancement<br>強制(きょうせい): obligation; coercion; compulsion; enforcement<br>勉強(べんきょう): (1) study (2) diligence (3) discount; reduction<br>強力(きょうりょく): powerful; strong<br>強盗(ごうとう): (1) robber; mugger (2) robbery; burglary<br>強気(つよき): (1) confident; assured; self-assured; firm; strong; cocksure (2) bullish (e.g. market)<br>強烈(きょうれつ): strong; intense; severe<br>強引(ごういん): overbearing; coercive; pushy; forcible; high-handed<br>強める(つよめる): to strengthen; to emphasize; to emphasise<br>補強(ほきょう): compensation; reinforcement<br>強行(きょうこう): (1) forcing; enforcement (2) forced; enforced<br>力強い(ちからづよい): (1) powerful; strong; forceful; vigorous (2) reassuring; encouraging<br>強い(つよい): (1) strong; powerful; mighty; potent (2) resistant; resilient; durable<br>強いる(しいる): to force; to compel; to coerce<br>強硬(きょうこう): firm; vigorous; unbending; unyielding; strong; stubborn<br>増強(ぞうきょう): augment; reinforce; increase<br>強調(きょうちょう): emphasis; highlight; stress; stressed point<br>心強い(こころづよい): heartening; reassuring<br>強まる(つよまる): to get strong; to gain strength<br>強いて(しいて): by force<br>強請る(ねだる): (1) to tease; to coax (2) to solicit; to demand; to extort<br>強(きょう): (1) a little over; a little more than (2) powerhouse; one of the biggest; one of the most powerful,4,11.0,弓,57.0,3.0,ゆみ・ゆみへん
100,高,コウ,たか.い、たか、-だか、たか.まる、たか.める,"tall, high, expensive","""高校(こうこう): senior high school<br>最高(さいこう): highest; supreme; the most<br>高校生(こうこうせい): senior high school student<br>高級(こうきゅう): high class; high grade<br>高層(こうそう): multistory; multistoried; high-rise; high; tall<br>高速(こうそく): (1) high speed; high gear (2) highway; freeway; expressway; motorway<br>高度(こうど): (1) altitude; height (2) advanced; high-grade; strong<br>高等(こうとう): high class; high grade<br>残高(ざんだか): (bank) balance; remainder<br>高い(たかい): (1) high; tall (2) expensive<br>高まる(たかまる): to rise; to swell; to be promoted<br>高める(たかめる): to raise; to lift; to boost; to enhance<br>高価(こうか): high price<br>高原(こうげん): tableland; plateau<br>高等学校(こうとうがっこう): senior high school<br>名高い(なだかい): famous; celebrated; well-known<br>高(たか): quantity; amount; volume; number; amount of money<br>高尚(こうしょう): high; noble; refined; advanced<br>高(こう): (1) High (abbreviation of """"High School"""" following a school's name) (2) high-""",5,10.0,高,189.0,10.0,たかい
101,同,ドウ,おな.じ,"same, agree, equal","共同(きょうどう): doing together (as equals); sharing; common (land, etc.); joint (statement, etc.); cooperation; co-operation; collaboration; association<br>同時(どうじ): simultaneous(ly); concurrent; same time; synchronous; together<br>同様(どうよう): identical; equal to; same (kind); like; similarity<br>同盟(どうめい): alliance; union; league<br>合同(ごうどう): (1) combination; union; incorporation; amalgamation; fusion (2) congruence<br>同士(どうし): fellow; mutual; companion; comrade; bonding<br>同一(どういつ): identity; sameness; similarity; equality; fairness<br>同意(どうい): (1) agreement; consent; same opinion; approval (2) same meaning<br>同志(どうし): same mind; comrade; kindred soul<br>同情(どうじょう): sympathy; compassion; sympathize; sympathise; pity; feel for<br>同居(どうきょ): coexistence; living together<br>同感(どうかん): agreement; same opinion; same feeling; sympathy; concurrence<br>同等(どうとう): equality; equal; same rights; same rank; equivalence<br>一同(いちどう): all present; all concerned; all of us<br>同僚(どうりょう): coworker; co-worker; colleague; associate<br>同調(どうちょう): sympathy; agreement with; alignment; conformity; tuning<br>同級(どうきゅう): the same grade; same class<br>同封(どうふう): enclosure (e.g. in a letter)<br>混同(こんどう): confusion; mixing; merger<br>同(どう): the same; the said; ibid.<br>同じ(おなじ): (1) same; identical; equal; uniform; equivalent; similar; common (origin); changeless; alike (2) (usu. part of a 'nara' conditional) anyway; anyhow; in either case<br>同い年(おないどし): the same age<br>同格(どうかく): the same rank; equality; apposition",4,6.0,口,30.0,3.0,くち・くちへん
102,親,シン,おや、おや-、した.しい、した.しむ,"parent, intimacy, relative, familiarity, dealer (cards)","親(おや): (1) parent; parents (2) dealer (in cards) (3) founder (4) (pet) owner<br>父親(ちちおや): father<br>母親(ははおや): mother<br>両親(りょうしん): parents; both parents<br>親類(しんるい): relation; kin<br>親善(しんぜん): friendship<br>肉親(にくしん): blood relationship; blood relative<br>親しむ(したしむ): to be intimate with; to befriend<br>親友(しんゆう): close friend; bosom (old, intimate) friend; buddy; crony; chum<br>親切(しんせつ): kindness; gentleness<br>親指(おやゆび): thumb<br>親しい(したしい): intimate; close (e.g. friend)<br>親戚(しんせき): relative; relation; kin<br>親父(おやじ): one's father; old man; one's boss",4,16.0,見,147.0,7.0,みる
103,母,ボ,はは、も,"mama, mother","叔母(おば): aunt<br>母(はは): mother<br>母親(ははおや): mother<br>お母さん(おかあさん): mother<br>父母(ふぼ): father and mother; parents<br>祖母(そぼ): grandmother<br>母国(ぼこく): one's homeland<br>母校(ぼこう): alma mater<br>保母(ほぼ): day-care worker in a kindergarten, nursery school, etc.<br>分母(ぶんぼ): denominator<br>お祖母さん(おばあさん): (1) grandmother (2) female senior-citizen<br>伯母さん(おばさん): aunt<br>小母さん(おばさん): old lady; ma'am (vocative)",5,5.0,毋,80.0,4.0,なし・なかれ ・ははのかん
104,父,フ,ちち,father,叔父(おじ): uncle<br>父(ちち): father<br>父親(ちちおや): father<br>父母(ふぼ): father and mother; parents<br>お父さん(おとうさん): father; dad; papa; pa; pop; daddy; dada<br>祖父(そふ): (1) grandfather (2) old man (3) kyogen mask used for the role of an old man<br>叔父(おじ): uncle (younger than one's parent)<br>お祖父さん(おじいさん): (1) grandfather (2) male senior-citizen<br>親父(おやじ): one's father; old man; one's boss<br>伯父さん(おじさん): (1) uncle (2) old man; mister (vocative) (3) manybar goatfish (Parupeneus multifasciatus),5,4.0,父,88.0,4.0,ちち
105,姉,シ,あね、はは,elder sister,"姉(あね): older sister; elder sister<br>姉妹(しまい): sisters<br>お姉さん(おねえさん): (1) elder sister (2) (vocative) young lady (3) miss (referring to a waitress, etc.) (4) ma'am (used by geisha to refer to their superiors)<br>従姉妹(いとこ): cousin (female)",4,8.0,女,38.0,3.0,おんな・おんなへん
106,兄,ケイ、キョウ,あに,"elder brother, big brother",兄(あに): older brother<br>兄弟(きょうだい): siblings; brothers and sisters<br>お兄さん(おにいさん): (1) older brother; elder brother (2) (vocative) young man; buddy; fella; laddie<br>従兄弟(いとこ): cousin (male),4,5.0,儿,10.0,2.0,にんにょう・ひとあし
107,弟,テイ、ダイ、デ,おとうと,"younger brother, faitherful service to elders",弟(おとうと): (1) younger brother (2) pupil; apprentice<br>兄弟(きょうだい): siblings; brothers and sisters<br>弟子(でし): pupil; disciple; adherent; follower; apprentice; young person; teacher's student-helper<br>従兄弟(いとこ): cousin (male),4,7.0,弓,57.0,3.0,ゆみ・ゆみへん
108,妹,マイ,いもうと,younger sister,妹(いもうと): younger sister<br>姉妹(しまい): sisters<br>従姉妹(いとこ): cousin (female),4,8.0,女,38.0,3.0,おんな・おんなへん
109,自,ジ、シ,みずか.ら、おの.ずから、おの.ずと,oneself,"自ら(みずから): for one's self; personally<br>自身(じしん): by oneself; personally<br>自然(しぜん): (1) nature; spontaneity (2) naturally; spontaneously<br>自宅(じたく): one's home<br>自動車(じどうしゃ): automobile<br>自分(じぶん): (1) myself; yourself; oneself; himself; herself (2) I; me<br>自由(じゆう): freedom; liberty; as it pleases you<br>自己(じこ): self; oneself<br>自治(じち): (1) self-government; autonomy (2) local (governmental) autonomy<br>自信(じしん): self-confidence; confidence (in oneself)<br>独自(どくじ): original; peculiar; characteristic; proprietary<br>自主(じしゅ): independence; autonomy<br>自転車(じてんしゃ): bicycle<br>自動(じどう): (1) automatic; self-motion (2) intransitive verb<br>自殺(じさつ): suicide<br>自衛(じえい): self-defense; self-defence<br>不自由(ふじゆう): (1) discomfort; inconvenience (2) poverty; want; destitution (3) disability; impairment (physical, mental, etc.)<br>自覚(じかく): self-consciousness; self-awareness<br>自慢(じまん): pride; boast<br>各自(かくじ): individual; each<br>自然科学(しぜんかがく): natural science<br>自我(じが): self; the ego<br>自立(じりつ): independence; self-reliance<br>自在(じざい): freely; at will<br>自首(じしゅ): surrender; give oneself up<br>自習(じしゅう): self-study<br>自ずから(おのずから): naturally; as a matter of course<br>自惚れ(うぬぼれ): pretension; conceit; hubris<br>自転(じてん): rotation (usu. on an axis); turning; spin<br>自尊心(じそんしん): self-respect; conceit<br>自動詞(じどうし): intransitive verb (no direct obj)",4,6.0,自,132.0,6.0,みずから
110,友,ユウ,とも,friend,"友人(ゆうじん): friend<br>友好(ゆうこう): friendship<br>友(とも): friend; companion; comrade; pal<br>友達(ともだち): friend; companion<br>友情(ゆうじょう): friendship; fellowship; camaraderie<br>親友(しんゆう): close friend; bosom (old, intimate) friend; buddy; crony; chum",5,4.0,又,29.0,2.0,また
111,体,タイ、テイ,からだ、かたち,"body, substance, object, reality, counter for images","""身体(しんたい): (1) body (2) health<br>全体(ぜんたい): whole; entirety; whatever (is the matter)<br>体制(たいせい): order; system; structure; set-up; organization; organisation<br>団体(だんたい): organization; organisation; association<br>体験(たいけん): personal experience<br>体育(たいいく): physical education; gymnastics; athletics<br>一体(いったい): (1) ...the heck (e.g. """"what the heck?""""); ...in the world (e.g. """"why in the world?""""); ...on earth (e.g. """"who on earth?"""") (2) one object; one body; unity (3) one form; one style (4) one Buddhist image (or carving, etc.) (5) generally; in general<br>主体(しゅたい): (1) main constituent; core; nucleus (2) subject (philosophical); protagonist<br>体重(たいじゅう): body weight (usu. one's own)<br>体力(たいりょく): physical strength<br>本体(ほんたい): (1) substance; real form (2) body (of a machine) (3) object of worship (at a shrine, temple, etc.) (4) noumenon<br>死体(したい): dead body; corpse; cadaver<br>体系(たいけい): system; organization; organisation; architecture<br>体操(たいそう): gymnastics; physical exercises; calisthenics<br>立体(りったい): (1) solid body; three-dimensional object (2) multi-storey car park<br>人体(じんたい): human body<br>液体(えきたい): liquid; fluid<br>肉体(にくたい): the body; the flesh<br>大体(だいたい): general; substantially; outline; main point; approximately; about<br>体温(たいおん): temperature; body temperature (human, animal)<br>天体(てんたい): heavenly body; celestial body; astronomical object<br>正体(しょうたい): (1) natural shape; one's true colors; one's true colours; true character; identity; true identity (2) consciousness; one's senses<br>物体(ぶったい): body; object<br>体格(たいかく): physique; constitution<br>固体(こたい): solid (body); solid matter; solid-state<br>文体(ぶんたい): literary style<br>体裁(ていさい): (1) (outward) appearance (2) (proper) format (e.g. of an essay); form; style (3) appearances; decency; show; display (4) lip-service; insincere words; glib talk<br>具体(ぐたい): concrete; tangible; material<br>気体(きたい): vapour; vapor; gas<br>個体(こたい): individual (living being)<br>体積(たいせき): capacity; volume<br>体付き(からだつき): body build; figure<br>勿体ない(もったいない): (1) impious; profane; sacrilegious (2) too good; more than one deserves; unworthy of (3) wasteful<br>字体(じたい): type; font; lettering<br>体(てい): appearance; air; condition; state; form""",4,7.0,骨,188.0,10.0,ほね・ほねへん
112,毛,モウ,け,"fur, hair, feather, down","""毛(け): hair; fur<br>毛布(もうふ): blanket<br>毛皮(けがわ): (1) fur; skin; pelt (2) kanji """"fur"""" radical<br>髪の毛(かみのけ): hair (head)<br>毛糸(けいと): knitting wool<br>羊毛(ようもう): wool""",2,4.0,毛,82.0,4.0,け
113,頭,トウ、ズ、ト,あたま、かしら、-がしら、かぶり,"head, counter for large animals",冒頭(ぼうとう): beginning; start; outset<br>先頭(せんとう): head; lead; vanguard; first<br>街頭(がいとう): in the street<br>頭痛(ずつう): headache<br>頭脳(ずのう): head; brains; intellect<br>口頭(こうとう): oral<br>頭(あたま): (1) head (2) mind; brain; intellect (3) top (4) hair (on one's head) (5) bangs; fringe (6) top structural component of a kanji<br>頭(とう): counter for large animals (e.g. head of cattle),4,16.0,頁,181.0,9.0,おおがい・いちのかい
114,顔,ガン,かお,"face, expression",顔(かお): face (person)<br>笑顔(えがお): smiling face; smile<br>顔付き(かおつき): (outward) looks; features; face; countenance; expression,4,18.0,頁,181.0,9.0,おおがい・いちのかい
115,首,シュ,くび,neck,"首相(しゅしょう): Prime Minister; Chancellor (Germany, Austria, etc.); Premier<br>首脳(しゅのう): (1) head; leader; leading spirit (2) important part<br>首都(しゅと): capital city; metropolis<br>首(くび): (1) neck (2) head (3) unemployed person<br>元首(げんしゅ): ruler; sovereign<br>手首(てくび): wrist<br>自首(じしゅ): surrender; give oneself up<br>首飾り(くびかざり): necklace; choker<br>部首(ぶしゅ): radical (of a kanji character)<br>首輪(くびわ): necklace; choker",4,9.0,首,185.0,9.0,くび
116,心,シン,こころ、-ごころ,"heart, mind, spirit","""関心(かんしん): concern; interest<br>中心(ちゅうしん): (1) center; centre; middle; heart; core; focus; pivot; emphasis; balance (2) -centered; -centred; -focussed; -oriented; centered on; focussed on<br>心臓(しんぞう): heart<br>心配(しんぱい): (1) worry; concern; anxiety (2) care; help; aid; assistance<br>心理(しんり): state of mind; mentality; psychology<br>安心(あんしん): relief; peace of mind<br>都心(としん): city centre (center) (esp. capital city); urban centre; heart of city a metropolis<br>熱心(ねっしん): zeal; enthusiasm<br>肝心(かんじん): essential; fundamental; crucial; vital; main<br>感心(かんしん): admiration; Well done!<br>心身(しんしん): mind and body<br>心地(ここち): (1) feeling; sensation; mood (2) sensation of doing (usu. after -masu stem of verb)<br>野心(やしん): ambition; aspiration; designs; treachery<br>良心(りょうしん): conscience<br>心中(しんじゅう): double suicide; lovers suicide<br>内心(ないしん): innermost thoughts; real intention; inmost heart; one's mind; in the heart<br>決心(けっしん): determination; resolution<br>心得る(こころえる): (1) to know; to understand; to be aware of; to regard as; to take for (2) to consent; to agree<br>苦心(くしん): pain; trouble; anxiety; diligence; hard work<br>心得(こころえ): knowledge; information<br>心がける(こころがける): to keep in mind; to bear in mind; to try; to aim to do; to endeavor; to endeavour<br>心掛け(こころがけ): intention; attention; dedication; care; prudence; readiness; mental attitude<br>心情(しんじょう): sentiment; emotions; one's feelings; one's heart<br>用心(ようじん): care; precaution; guarding; caution<br>一心(いっしん): (1) one mind (2) wholeheartedness; one's whole heart<br>心当たり(こころあたり): having some knowledge of; happening to know<br>真心(まごころ): sincerity; devotion<br>心強い(こころづよい): heartening; reassuring<br>心細い(こころぼそい): helpless; forlorn; hopeless; unpromising; lonely; discouraging; disheartening<br>心(こころ): (1) mind; heart; spirit (2) the meaning of a phrase (riddle, etc.)<br>心(しん): (1) heart; mind (2) spirit; vitality; inner strength (3) Chinese """"Heart"""" constellation (one of the 28 mansions) (4) friend<br>下心(したごころ): (1) secret intention; ulterior motive (2) kanji """"heart"""" radical at bottom<br>自尊心(じそんしん): self-respect; conceit""",4,4.0,心,61.0,4.0,こころ・したごころ・りっしんべん
117,時,ジ,とき、-どき,"time, hour",時間(じかん): (1) time (2) hours<br>時期(じき): (1) time; season; period (2) soon; shortly<br>時代(じだい): (1) period; epoch; era; age (2) the times; those days (3) oldness; ancientness; antiquity (4) antique; period piece<br>当時(とうじ): at that time; in those days<br>同時(どうじ): simultaneous(ly); concurrent; same time; synchronous; together<br>一時(いちじ): (1) one o'clock (2) once; at one time; formerly; before (3) for a time; for a while; for the time being; for the present; for the moment; temporarily (4) a time; one time; once<br>臨時(りんじ): temporary; special; extraordinary<br>時(とき): (1) time; hour; moment (2) occasion; case (3) chance; opportunity; season (4) the times; the age; the day (5) tense<br>時計(とけい): watch; clock; timepiece<br>時速(じそく): speed (per hour)<br>時々(ときどき): sometimes; at times<br>時刻(じこく): instant; time; moment<br>日時(にちじ): date and time<br>時折(ときおり): sometimes<br>時差(じさ): time difference<br>時間割り(じかんわり): timetable (esp. a weekly school timetable); schedule<br>何時(いつ): when; how soon<br>何時までも(いつまでも): forever; for good; eternally; as long as one likes; indefinitely; no matter what<br>何時も(いつも): (1) always; usually; every time (2) never (with neg. verb)<br>何時でも(いつでも): (at) any time; always; at all times; whenever<br>時刻表(じこくひょう): table; diagram; chart; timetable; schedule<br>何時か(いつか): sometime; someday; one day; some time or other; the other day; in due course; in time<br>時(じ): (1) hour; o'clock (2) (specified) time; when ...; during ...<br>時間目(じかんめ): period (e.g. class),5,10.0,日,72.0,4.0,ひ・ひへん・にち・にちへん
118,曜,ヨウ,,weekday,土曜(どよう): Saturday<br>曜日(ようび): day of the week<br>日曜(にちよう): Sunday<br>金曜(きんよう): Friday<br>月曜(げつよう): Monday<br>水曜(すいよう): Wednesday<br>木曜(もくよう): Thursday<br>火曜日(かようび): Tuesday<br>火曜(かよう): Tuesday<br>金曜日(きんようび): Friday<br>月曜日(げつようび): Monday<br>水曜日(すいようび): Wednesday<br>土曜日(どようび): Saturday<br>日曜日(にちようび): Sunday<br>木曜日(もくようび): Thursday,4,18.0,日,72.0,4.0,ひ・ひへん・にち・にちへん
119,朝,チョウ,あさ,"morning, dynasty, regime, epoch, period, (North) Korea",朝(あさ): morning<br>毎朝(まいあさ): every morning<br>今朝(けさ): this morning<br>朝ご飯(あさごはん): breakfast<br>朝寝坊(あさねぼう): oversleeping; late riser,4,12.0,月,74.0,4.0,つき・つきへん
120,昼,チュウ,ひる,"daytime, noon",昼(ひる): (1) noon; midday (2) daytime (3) lunch<br>昼食(ちゅうしょく): (1) lunch; midday meal (2) food served at a tea party (tea ceremony)<br>昼間(ひるま): daytime; during the day; time from sunrise until sunset; diurnal period<br>昼休み(ひるやすみ): lunch break; noon recess; noon rest period<br>昼寝(ひるね): nap (afternoon); siesta<br>お昼(おひる): lunch; noon<br>昼飯(ひるめし): lunch; midday meal<br>昼ご飯(ひるごはん): lunch; midday meal,4,9.0,日,72.0,4.0,ひ・ひへん・にち・にちへん
121,夜,ヤ,よ、よる,"night, evening",夜(よる): evening; night<br>夜間(やかん): at night; nighttime<br>徹夜(てつや): all night; all-night vigil; sleepless night<br>夜中(よなか): midnight; dead of night<br>夜明け(よあけ): dawn; daybreak<br>今夜(こんや): this evening; tonight<br>深夜(しんや): late at night<br>日夜(にちや): day and night; always<br>夜更かし(よふかし): staying up late; keeping late hours; sitting up late at night; nighthawk<br>夜具(やぐ): bedding; bedclothes<br>夜更け(よふけ): late at night<br>夜行(やこう): walking around at night; night train; night travel<br>夜中(やちゅう): during the night; at night,4,8.0,夕,36.0,3.0,ゆう・ゆうべ・た
