Radical,Radical Number ,Numbers of Stroke ,Alternative,Meaning ,Reading
丿,4,1,,bend,の・のかんむり・はらいぼう
卜,25,2,⼘、⺊,divination,ぼく・ぼくづくり・ぼくのと・と・うらない
虫,142,6,,insect,むし・むしへん
冂,13,2,,upside down box,けいがまえ・まきがまえ・どうがまえ・えんがまえ
亅,6,1,,hook,はねぼう
匕,21,2,,spoon,さじ・さじのひ・さじづくり・ひ
風,182,9,𠘨,wind,かぜ
聿,129,6,⺻,brush,ふで・ふでづくり
高,189,10,髙,"tall, high",たかい
甘,99,5,,sweet,あまい・かん
舌,135,6,,tongue,した・したへん
矛,110,5,,"spear, pike",ほこ・ほこへん・むのほこ
舟,137,6,,boat,ふね・ふねへん
鳥,196,11,,bird,とり・とりへん
魚,195,11,,fish,うお・うおへん・さかな
馬,187,10,,horse,うま・うまへん
身,158,7,,body,み・みへん
皮,107,5,,skin,かわ・けがわ・ひのかわ
面,176,9,靣,face,めん
黑,203,12,黒,black,くろ・くろへん
血,143,6,,blood,ち・ちへん
幺,52,3,,short thread,いとがしら・よう
香,186,9,,fragrant,か・こう・かおり・においこう
鬼,194,10,,"ghost, demon",おに・きにょう
匚,22,2,,box,はこ・はこがまえ
飛,183,9,,fly,とぶ
片,91,4,,(a) slice,かた・かたへん
豕,152,7,,pig,いのこ・いのこへん・ぶた
臣,131,6,,"minister, official",しん・おみ
韋,178,9,,tanned leather,なめしがわ
鼻,209,14,,nose,はな・はなへん
爿,90,4,丬,split wood,しょうへん
齒,211,15,歯,"tooth, molar",は・はへん
角,148,7,,horn,つの・かく・つのへん
齊,210,14,,"even, uniformly",さい・せい・ととのえる
麥,199,11,麦,wheat,むぎ・むぎへん・ぼく・ばくにょう
皿,108,5,,dish,さら
瓜,97,5,,melon,うり
革,177,9,,"leather, rawhide",かわ・かくのかわ・かわへん・つくりがわ
鹿,198,11,,deer,しか・しかへん
舛,136,6,,opposite,ます・まいあし
骨,188,10,,bone,ほね・ほねへん
鼠,208,13,,"rat, mouse",ねずみ・ねずみへん
辰,161,7,,morning,たつ・しんのたつ
隶,171,8,,"slave, capture",たい・たいづくり・れいづくり・れいのつくり
牙,92,4,,fang,きば・きばへん
凵,17,2,,"container, open mouth",かんにょう・うけばこ・かんがまえ
屮,45,3,,sprout,くさのめ・めばえ・てつ
缶,121,6,,"can, earthenware jar",ほとぎ・ほとぎへん
玄,95,5,,"dark, profound",げん
龍,212,16,竜,dragon,りゅう
龜,213,16,亀,"turtle, tortoise",かめ
无,71,4,旡,have not,む・むにょう・すでのつくり
鬥,191,10,,fight,たたかいがまえ・とうがまえ
臼,134,6,,mortar,うす
虍,141,6,,tiger stripes,とら・とらがしら・とらかんむり
鬲,193,10,,"tripod, cauldron",れき・れきのかなえ
尢,43,3,尤、尣,lame,まげあし・だいのまげあし・あう・おうにょう
瓦,98,5,,tile,かわら
耒,127,6,,plow,すき・すきへん・らいすき・らいへん
豸,153,7,,"cat, badger",むじな・むじなへん
黍,202,12,,millet,きび
鼓,207,13,,drum,つづみ
鹵,197,11,,salt,ろ・しお・しおへん
髟,190,10,,hair,かみがしら・かみかんむり
黽,205,13,,"frog, amphibian",おおがえる・べん・ぼう・ひきがえる
曰,73,4,,say,ひらび・いわく
麻,200,11,,"hemp, flax",あさ・あさかんむり
而,126,6,,"rake, beard",しかし・しかして・しこうして
韭,179,9,,leek,にら
龠,214,17,,flute,やく・やくのふえ
爻,89,4,,"mix, twine, cross",こう・めめ
釆,165,7,,"divide, distinguish, choose",のごめ・のごめへん
鼎,206,13,,sacrificial tripod,かなえ・てい
禸,114,5,,track,あしあと・ぐうのあし
鬯,192,10,,"herbs, sacrificial wine",ちょう・においざけ・かおりぐさ
黹,204,12,,"embroidery, needlework",ち・ぬいとり
夊,35,3,,winter variant,なつあし・すいにょう
